Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2198-24_r_1.3_s_100_BSNTN2198-24,BSNTN2198-24,r_1.3_s_100_merge,5363278,67,24,1569,0.0,18.0,3.956022944550669,3.0,67,54,7,5,1,0,84.32,4.69,18.0,1.0
BSNTN2198-24_r_1.5_s_100_BSNTN2198-24,BSNTN2198-24,r_1.5_s_100_merge,5363278,40,51,1569,0.0,18.0,2.2409177820267687,1.0,40,34,3,2,1,0,62.14,3.61,18.0,1.0
BSNTN2215-24_r_1.5_s_100_BSNTN2215-24,BSNTN2215-24,r_1.5_s_100_merge,96,0,0,1536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2271-24_r_1_s_50_BSNTN2271-24,BSNTN2271-24,r_1_s_50_merge,2823699,9,12,1569,0.0,3.0,0.37858508604206503,0.0,9,7,0,1,1,0,18.93,2.0,3.0,1.0
BSNTN2240-24_r_1.5_s_100_BSNTN2240-24,BSNTN2240-24,r_1.5_s_100_merge,173,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2246-24_r_1_s_100_BSNTN2246-24,BSNTN2246-24,r_1_s_100_merge,3586622,20,4,1569,0.0,8.0,1.2581261950286806,1.0,20,16,0,3,1,0,55.64,2.26,8.0,1.0
BSNTN2186-24_r_1.3_s_100_BSNTN2186-24,BSNTN2186-24,r_1.3_s_100_merge,8035260,96,21,1569,0.0,17.0,5.8891013384321225,5.0,96,95,0,1,0,0,84.51,6.97,17.0,1.0
BSNTN2198-24_r_1.3_s_50_BSNTN2198-24,BSNTN2198-24,r_1.3_s_50_merge,5363278,206,433,1569,0.0,65.0,7.235181644359464,5.0,206,178,7,14,7,0,85.66,8.45,65.0,1.0
BSNTN2231-24_r_1.3_s_100_BSNTN2231-24,BSNTN2231-24,r_1.3_s_100_merge,3321081,33,1,1533,0.0,6.0,1.9217221135029354,2.0,33,30,0,2,1,0,83.17,2.31,6.0,1.0
BSNTN2246-24_r_1.5_s_50_BSNTN2246-24,BSNTN2246-24,r_1.5_s_50_merge,3586622,17,65,1569,0.0,3.0,0.5239005736137667,0.0,17,15,0,2,0,0,36.52,1.43,3.0,1.0
BSNTN2204-24_r_1.3_s_100_BSNTN2204-24,BSNTN2204-24,r_1.3_s_100_merge,149,0,0,1533,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2253-24_r_1.3_s_50_BSNTN2253-24,BSNTN2253-24,r_1.3_s_50_merge,221,1,0,1539,0.0,1.0,0.03313840155945419,0.0,1,1,0,0,0,0,3.31,1.0,1.0,1.0
BSNTN2206-24_r_1.3_s_50_BSNTN2206-24,BSNTN2206-24,r_1.3_s_50_merge,8710070,144,612,1533,0.0,26.0,4.553816046966732,3.0,144,122,3,12,7,0,90.02,5.06,26.0,1.0
BSNTN2211-24_r_1.3_s_50_BSNTN2211-24,BSNTN2211-24,r_1.3_s_50_merge,294,0,0,1569,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2190-24_r_1.5_s_50_BSNTN2190-24,BSNTN2190-24,r_1.5_s_50_merge,8638643,214,799,1569,0.0,54.0,8.491395793499043,7.0,214,211,0,1,2,0,78.78,10.78,54.0,1.0
BSNTN2203-24_r_1.5_s_100_BSNTN2203-24,BSNTN2203-24,r_1.5_s_100_merge,2433614,3,3,1539,0.0,1.0,0.15009746588693956,0.0,3,3,0,0,0,0,15.01,1.0,1.0,1.0
BSNTN2253-24_r_1.5_s_100_BSNTN2253-24,BSNTN2253-24,r_1.5_s_100_merge,221,0,0,1539,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2229-24_r_1.5_s_50_BSNTN2229-24,BSNTN2229-24,r_1.5_s_50_merge,341,0,0,1539,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2214-24_r_1.5_s_50_BSNTN2214-24,BSNTN2214-24,r_1.5_s_50_merge,8090158,115,726,1569,0.0,16.0,4.024856596558317,3.0,115,107,0,7,1,0,78.01,5.16,16.0,1.0
BSNTN2233-24_r_1.3_s_50_BSNTN2233-24,BSNTN2233-24,r_1.3_s_50_merge,7080209,104,180,1710,0.0,14.0,2.9771929824561405,2.0,104,87,0,13,4,0,62.28,4.78,14.0,1.0
BSNTN2241-24_r_1.5_s_100_BSNTN2241-24,BSNTN2241-24,r_1.5_s_100_merge,434,0,0,1539,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2209-24_r_1.5_s_50_BSNTN2209-24,BSNTN2209-24,r_1.5_s_50_merge,8667968,51,220,1710,0.0,13.0,1.0666666666666667,0.0,51,40,0,9,2,0,32.98,3.23,13.0,1.0
BSNTN2215-24_r_1.3_s_100_BSNTN2215-24,BSNTN2215-24,r_1.3_s_100_merge,96,0,0,1536,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
BSNTN2232-24_r_1.5_s_50_BSNTN2232-24,BSNTN2232-24,r_1.5_s_50_merge,5989771,69,411,1569,0.0,11.0,1.8107074569789674,1.0,69,61,0,3,5,0,61.19,2.96,11.0,1.0
