Filename,ID,mge_params,n_reads_in,n_reads_aligned,n_reads_skipped,ref_length,cov_min,cov_max,cov_avg,cov_med,cleaning_input_reads,cleaning_kept_reads,cleaning_removed_human,cleaning_removed_at,cleaning_removed_outlier,cleaning_ambig_bases,cleaning_cov_percent,cleaning_cov_avg,cleaning_cov_max,cleaning_cov_min
BSNTN2969-24_r_1.3_s_100_BSNTN2969-24,BSNTN2969-24,r_1.3_s_100_merge,6694825,224,888,1524,0.0,74.0,18.633858267716537,12.0,224,160,0,49,15,0,86.42,21.56,74.0,1.0
BSNTN2976-24_r_1.3_s_100_BSNTN2976-24,BSNTN2976-24,r_1.3_s_100_merge,8861360,476,506,1524,0.0,99.0,42.346456692913385,42.0,476,459,0,12,5,0,87.6,48.34,99.0,1.0
BSNTN2976-24_r_1_s_100_BSNTN2976-24,BSNTN2976-24,r_1_s_100_merge,8861360,865,117,1524,0.0,142.0,79.08267716535433,85.5,865,818,0,36,11,0,95.47,82.83,142.0,1.0
BSNTN3000-24_r_1_s_100_BSNTN3000-24,BSNTN3000-24,r_1_s_100_merge,6475937,176,53,1524,0.0,60.0,13.868110236220472,11.0,176,170,0,2,4,0,97.44,14.23,60.0,1.0
BSNTN3000-24_r_1_s_50_BSNTN3000-24,BSNTN3000-24,r_1_s_50_merge,6475937,806,3140,1524,0.0,227.0,33.04724409448819,22.0,806,668,0,102,36,0,99.41,33.24,227.0,2.0
BSNTN3028-24_r_1.3_s_100_BSNTN3028-24,BSNTN3028-24,r_1.3_s_100_merge,6068184,452,345,1524,0.0,112.0,33.99212598425197,27.0,452,450,0,0,2,0,91.34,37.22,112.0,1.0
BSNTN2972-24_r_1.5_s_100_BSNTN2972-24,BSNTN2972-24,r_1.5_s_100_merge,9432925,63,595,1524,0.0,27.0,4.460629921259843,3.0,63,63,0,0,0,0,62.6,7.13,27.0,1.0
BSNTN2948-24_r_1.5_s_50_BSNTN2948-24,BSNTN2948-24,r_1.5_s_50_merge,6194569,50,2214,1524,0.0,17.0,1.6476377952755905,0.0,50,44,0,4,2,0,47.24,3.49,17.0,1.0
BSNTN2955-24_r_1.5_s_50_BSNTN2955-24,BSNTN2955-24,r_1.5_s_50_merge,11540716,264,6101,1524,0.0,115.0,9.358267716535433,4.0,264,227,0,22,15,0,67.72,13.82,115.0,1.0
BSNTN2961-24_r_1_s_50_BSNTN2961-24,BSNTN2961-24,r_1_s_50_merge,9484779,590,4030,1524,0.0,71.0,28.403543307086615,28.0,590,404,0,156,30,0,99.61,28.52,71.0,1.0
BSNTN3016-24_r_1.5_s_100_BSNTN3016-24,BSNTN3016-24,r_1.5_s_100_merge,7129082,433,531,1524,0.0,99.0,38.22244094488189,33.0,433,424,0,5,4,0,89.37,42.77,99.0,1.0
BSNTN3005-24_r_1.3_s_50_BSNTN3005-24,BSNTN3005-24,r_1.3_s_50_merge,4900879,99,1392,1524,0.0,30.0,5.039370078740157,3.0,99,69,0,22,8,0,76.18,6.61,30.0,1.0
BSNTN2990-24_r_1.3_s_50_BSNTN2990-24,BSNTN2990-24,r_1.3_s_50_merge,8648539,404,4745,1524,0.0,122.0,14.551181102362206,6.5,404,346,0,40,18,0,75.0,19.4,122.0,1.0
BSNTN3007-24_r_1_s_100_BSNTN3007-24,BSNTN3007-24,r_1_s_100_merge,5793457,153,20,1524,0.0,26.0,11.978346456692913,12.0,153,146,0,5,2,0,98.03,12.22,26.0,1.0
BSNTN3011-24_r_1.5_s_100_BSNTN3011-24,BSNTN3011-24,r_1.5_s_100_merge,8544417,128,396,1524,0.0,53.0,10.36023622047244,2.0,128,127,0,0,1,0,66.73,15.53,53.0,1.0
BSNTN2968-24_r_1.5_s_50_BSNTN2968-24,BSNTN2968-24,r_1.5_s_50_merge,10383244,130,4075,1524,0.0,24.0,6.312992125984252,5.0,130,114,0,12,4,0,70.67,8.93,24.0,1.0
BSNTN3011-24_r_1.3_s_100_BSNTN3011-24,BSNTN3011-24,r_1.3_s_100_merge,8544417,398,126,1524,0.0,82.0,37.03346456692913,38.0,398,388,0,3,7,0,94.09,39.36,82.0,1.0
BSNTN2958-24_r_1_s_50_BSNTN2958-24,BSNTN2958-24,r_1_s_50_merge,8200801,808,3566,1524,0.0,105.0,51.267716535433074,51.0,808,687,0,83,38,0,99.8,51.37,105.0,1.0
BSNTN2974-24_r_1.5_s_100_BSNTN2974-24,BSNTN2974-24,r_1.5_s_100_merge,5736593,25,90,1524,0.0,13.0,1.562992125984252,0.0,25,25,0,0,0,0,36.81,4.25,13.0,1.0
BSNTN2955-24_r_1_s_50_BSNTN2955-24,BSNTN2955-24,r_1_s_50_merge,11540716,1055,5310,1524,0.0,188.0,66.54527559055119,67.0,1055,843,0,172,40,0,99.41,66.94,188.0,1.0
BSNTN2989-24_r_1.5_s_100_BSNTN2989-24,BSNTN2989-24,r_1.5_s_100_merge,6054666,132,145,1524,0.0,41.0,12.85236220472441,11.0,132,131,0,0,1,0,85.83,14.97,41.0,1.0
BSNTN2974-24_r_1_s_100_BSNTN2974-24,BSNTN2974-24,r_1_s_100_merge,5736593,106,9,1524,0.0,35.0,9.48228346456693,5.0,106,104,0,1,1,0,89.17,10.63,35.0,1.0
BSNTN3023-24_r_1_s_100_BSNTN3023-24,BSNTN3023-24,r_1_s_100_merge,12210613,728,71,1524,0.0,121.0,73.75196850393701,79.0,728,703,0,19,6,0,94.49,78.05,121.0,3.0
BSNTN2963-24_r_1.5_s_100_BSNTN2963-24,BSNTN2963-24,r_1.5_s_100_merge,12183938,104,744,1524,0.0,45.0,7.438976377952756,0.0,104,103,0,0,1,0,45.87,16.22,45.0,1.0
BSNTN3022-24_r_1_s_100_BSNTN3022-24,BSNTN3022-24,r_1_s_100_merge,12238039,421,71,1524,0.0,96.0,37.01574803149607,27.0,421,402,0,12,7,0,93.31,39.67,96.0,3.0
BSNTN3019-24_r_1.5_s_50_BSNTN3019-24,BSNTN3019-24,r_1.5_s_50_merge,4248470,75,793,1560,0.0,19.0,2.3134615384615387,0.0,75,68,0,3,4,0,49.04,4.72,19.0,1.0
BSNTN2988-24_r_1.3_s_50_BSNTN2988-24,BSNTN2988-24,r_1.3_s_50_merge,7334031,393,2577,1524,0.0,101.0,22.096456692913385,15.0,393,346,0,35,12,0,88.98,24.83,101.0,1.0
BSNTN2973-24_r_1_s_50_BSNTN2973-24,BSNTN2973-24,r_1_s_50_merge,4376534,670,1356,1524,0.0,101.0,41.946850393700785,44.0,670,557,0,100,13,0,97.05,43.22,101.0,1.0
BSNTN3008-24_r_1_s_50_BSNTN3008-24,BSNTN3008-24,r_1_s_50_merge,8084957,1620,4023,1524,0.0,206.0,108.66141732283465,112.0,1620,1296,0,276,48,0,99.61,109.09,206.0,2.0
BSNTN3025-24_r_1.3_s_100_BSNTN3025-24,BSNTN3025-24,r_1.3_s_100_merge,6720980,308,56,1524,0.0,48.0,28.45472440944882,32.0,308,306,0,0,2,0,93.31,30.5,48.0,4.0
BSNTN2972-24_r_1.3_s_50_BSNTN2972-24,BSNTN2972-24,r_1.3_s_50_merge,9432925,475,4357,1524,0.0,64.0,34.50196850393701,39.0,475,432,0,34,9,0,94.09,36.67,64.0,1.0
BSNTN3032-24_r_1_s_50_BSNTN3032-24,BSNTN3032-24,r_1_s_50_merge,8035289,952,3072,1524,1.0,301.0,50.50590551181102,40.0,952,747,0,171,34,0,100.0,50.51,301.0,1.0
BSNTN3027-24_r_1.3_s_50_BSNTN3027-24,BSNTN3027-24,r_1.3_s_50_merge,8704547,193,2980,1524,0.0,31.0,10.297244094488189,10.0,193,152,0,35,6,0,91.54,11.25,31.0,1.0
BSNTN2978-24_r_1.3_s_50_BSNTN2978-24,BSNTN2978-24,r_1.3_s_50_merge,11278946,1786,6857,1524,0.0,323.0,144.18307086614172,151.5,1786,1716,0,56,14,0,93.11,154.85,323.0,1.0
BSNTN2983-24_r_1.3_s_50_BSNTN2983-24,BSNTN2983-24,r_1.3_s_50_merge,9936446,680,4295,1524,0.0,113.0,50.80118110236221,59.0,680,635,0,37,8,0,93.9,54.1,113.0,1.0
BSNTN2999-24_r_1.3_s_100_BSNTN2999-24,BSNTN2999-24,r_1.3_s_100_merge,3676553,64,435,1524,0.0,36.0,4.75,2.0,64,45,1,13,5,0,63.39,7.49,36.0,1.0
BSNTN2959-24_r_1_s_100_BSNTN2959-24,BSNTN2959-24,r_1_s_100_merge,9102371,63,3,1524,0.0,10.0,5.147637795275591,5.0,63,58,0,3,2,0,98.82,5.21,10.0,1.0
BSNTN2962-24_r_1.5_s_50_BSNTN2962-24,BSNTN2962-24,r_1.5_s_50_merge,7844088,110,4308,1524,0.0,22.0,7.541338582677166,5.0,110,96,0,8,6,0,81.69,9.23,22.0,1.0
BSNTN2994-24_r_1_s_100_BSNTN2994-24,BSNTN2994-24,r_1_s_100_merge,7176237,159,20,1524,0.0,39.0,12.78740157480315,9.0,159,147,0,8,4,0,97.64,13.1,39.0,1.0
BSNTN3027-24_r_1_s_100_BSNTN3027-24,BSNTN3027-24,r_1_s_100_merge,8704547,115,7,1524,0.0,17.0,8.948818897637794,9.0,115,112,0,2,1,0,98.62,9.07,17.0,1.0
BSNTN2999-24_r_1.5_s_50_BSNTN2999-24,BSNTN2999-24,r_1.5_s_50_merge,3676553,50,1386,1524,0.0,17.0,1.9665354330708662,1.0,50,39,0,7,4,0,51.38,3.83,17.0,1.0
BSNTN3016-24_r_1.3_s_50_BSNTN3016-24,BSNTN3016-24,r_1.3_s_50_merge,7129082,848,3338,1524,0.0,108.0,69.5492125984252,76.0,848,770,0,68,10,0,95.47,72.85,108.0,1.0
BSNTN2986-24_r_1_s_100_BSNTN2986-24,BSNTN2986-24,r_1_s_100_merge,11224495,183,38,1524,0.0,33.0,15.96259842519685,15.0,183,137,0,37,9,0,99.21,16.09,33.0,2.0
BSNTN2997-24_r_1.3_s_50_BSNTN2997-24,BSNTN2997-24,r_1.3_s_50_merge,8242939,811,4310,1524,0.0,143.0,64.57283464566929,67.0,811,775,0,27,9,0,94.69,68.2,143.0,1.0
BSNTN2962-24_r_1.3_s_100_BSNTN2962-24,BSNTN2962-24,r_1.3_s_100_merge,7844088,166,36,1524,0.0,34.0,16.242125984251967,17.0,166,150,0,5,11,0,93.9,17.3,34.0,1.0
BSNTN2957-24_r_1.5_s_50_BSNTN2957-24,BSNTN2957-24,r_1.5_s_50_merge,4632403,48,1338,1524,0.0,16.0,1.9980314960629921,1.0,48,44,0,4,0,0,55.91,3.57,16.0,1.0
BSNTN2999-24_r_1_s_100_BSNTN2999-24,BSNTN2999-24,r_1_s_100_merge,3676553,205,294,1524,0.0,70.0,17.312992125984252,13.0,205,139,1,49,16,0,87.99,19.68,70.0,1.0
BSNTN2993-24_r_1_s_100_BSNTN2993-24,BSNTN2993-24,r_1_s_100_merge,8525576,200,39,1524,0.0,45.0,16.1003937007874,14.0,200,142,0,47,11,0,89.17,18.06,45.0,1.0
BSNTN3038-24_r_1.5_s_100_BSNTN3038-24,BSNTN3038-24,r_1.5_s_100_merge,10718571,511,1160,1524,0.0,159.0,45.64763779527559,39.5,511,505,0,3,3,0,90.94,50.19,159.0,1.0
